#  Log[10,T [fm^-1]]	Log[10,E [fm^-4]]	Log[10,dE [fm^-4]]	Log[10,P [fm^-4]]	Log[10,dP [fm^-4]]
1001
-6.27	-151.69432095964623	-143.9578751681543	-153.13177463997528	-145.40874272536277
-6.257	-151.32536437376038	-143.6019185822684	-152.76281805408942	-145.0527861394769
-6.244	-150.95640778787453	-143.2459619963826	-152.39386146820357	-144.69682955359104
-6.231	-150.5874512019887	-142.89000541049674	-152.02490488231774	-144.34087296770522
-6.218	-150.21849461610284	-142.5340488246109	-151.6559482964319	-143.98491638181937
-6.205	-149.849538030217	-142.17809223872504	-151.28699171054603	-143.62895979593353
-6.192	-149.48058144433114	-141.82213565283922	-150.91803512466018	-143.27300321004768
-6.179	-149.11162485844534	-141.4661790669534	-150.54907853877438	-142.91704662416183
-6.166	-148.74266827255948	-141.11022248106755	-150.18012195288853	-142.561090038276
-6.153	-148.37371168667366	-140.7542658951817	-149.8111653670027	-142.20513345239019
-6.14	-148.0047551007878	-140.39830930929585	-149.44220878111682	-141.8491768665043
-6.127	-147.63579851490195	-140.04235272341	-149.073252195231	-141.4932202806185
-6.114	-147.26684192901612	-139.68639613752418	-148.70429560934517	-141.13726369473267
-6.101	-146.8978853431303	-139.33043955163834	-148.33533902345934	-140.7813071088468
-6.088	-146.52892875724444	-138.9744829657525	-147.96638243757346	-140.42535052296097
-6.075	-146.1599721713586	-138.61852637986667	-147.59742585168763	-140.06939393707512
-6.062	-145.79101558547276	-138.26256979398082	-147.22846926580178	-139.71343735118927
-6.049	-145.4220589995869	-137.90661320809494	-146.85951267991592	-139.35748076530342
-6.036	-145.05310241370105	-137.5506566222091	-146.4905560940301	-139.00152417941757
-6.023	-144.68414582781523	-137.19470003632327	-146.12159950814424	-138.64556759353175
-6.01	-144.31518924192937	-136.83874345043742	-145.75264292225842	-138.2896110076459
-5.997	-143.94623265604355	-136.4827868645516	-145.3836863363726	-137.93365442176005
-5.984	-143.5772760701577	-136.12683027866575	-145.01472975048674	-137.57769783587418
-5.971	-143.20831948427187	-135.77087369277993	-144.64577316460088	-137.22174124998836
-5.958	-142.839362898386	-135.41491710689408	-144.27681657871506	-136.86578466410253
-5.945	-142.47040631250016	-135.05896052100823	-143.9078599928292	-136.50982807821669
-5.932	-142.1014497266143	-134.70300393512235	-143.53890340694335	-136.15387149233084
-5.919	-141.73249314072845	-134.34704734923653	-143.1699468210575	-135.79791490644502
-5.906	-141.36353655484263	-133.9910907633507	-142.8009902351717	-135.44195832055917
-5.893	-140.9945799689568	-133.63513417746486	-142.43203364928584	-135.08600173467332
-5.88	-140.62562338307094	-133.279177591579	-142.0630770634	-134.73004514878747
-5.867	-140.25666679718512	-132.92322100569316	-141.69412047751413	-134.37408856290162
-5.854	-139.88771021129926	-132.56726441980732	-141.3251638916283	-134.0181319770158
-5.841	-139.51875362541344	-132.21130783392147	-140.95620730574248	-133.66217539112992
-5.828	-139.1497970395276	-131.85535124803562	-140.58725071985663	-133.3062188052441
-5.815	-138.78084045364173	-131.4993946621498	-140.21829413397077	-132.95026221935828
-5.802	-138.41188386775588	-131.14343807626395	-139.84933754808495	-132.59430563347243
-5.789	-138.04292728187008	-130.78748149037813	-139.48038096219912	-132.23834904758658
-5.776	-137.67397069598422	-130.43152490449228	-139.1114243763133	-131.88239246170073
